Machine_ID,Temperature,Run_Time,Downtime_Flag
M001,81.97,291.01,1
M002,51.25,278.65,0
M003,63.75,256.12,1
M004,61.16,58.23,0
M005,86.82,150.84,0
M006,83.83,71.99,1
M007,94.61,126.3,1
M008,54.35,27.0,0
M009,71.1,119.9,0
M010,51.49,295.74,1
M011,60.93,86.91,0
M012,75.27,237.38,0
M013,51.33,141.95,0
M014,59.94,132.67,0
M015,82.49,287.62,0
M016,77.25,298.67,0
M017,61.02,171.17,1
M018,79.46,218.34,0
M019,90.47,54.89,1
M020,50.32,96.05,1
M021,90.29,290.93,0
M022,84.91,177.96,1
M023,67.01,167.24,1
M024,57.77,226.91,1
M025,97.86,26.58,0
M026,66.83,179.41,0
M027,54.64,155.83,0
M028,54.84,257.29,0
M029,92.37,55.66,1
M030,80.19,288.63,0
M031,90.36,33.23,0
M032,86.49,63.89,1
M033,76.81,182.56,0
M034,98.66,205.81,0
M035,68.93,78.21,0
M036,77.6,44.77,1
M037,91.47,268.18,0
M038,80.93,81.4,1
M039,93.09,182.41,1
M040,78.87,189.62,1
M041,85.23,131.58,1
M042,52.29,179.26,1
M043,61.39,161.61,0
M044,64.47,281.06,1
M045,53.99,69.24,1
M046,61.64,217.7,1
M047,55.05,79.22,0
M048,63.9,124.78,1
M049,81.78,204.79,1
M050,68.24,97.0,0
M051,68.51,101.69,1
M052,60.48,228.04,1
M053,63.35,31.04,0
M054,96.83,142.9,1
M055,82.4,299.55,0
M056,80.46,298.87,1
M057,58.56,31.25,1
M058,86.46,71.81,1
M059,58.17,86.91,0
M060,68.97,280.65,0
M061,99.48,265.45,0
M062,82.0,264.99,0
M063,77.85,117.16,1
M064,84.23,55.75,0
M065,92.14,251.79,0
M066,88.8,214.03,0
M067,61.45,187.39,1
M068,51.61,296.3,1
M069,65.77,199.65,1
M070,63.39,12.27,1
M071,60.55,246.96,1
M072,97.15,96.82,0
M073,93.82,202.38,0
M074,65.73,282.29,1
M075,82.77,48.94,1
M076,69.78,43.47,0
M077,95.73,41.04,1
M078,72.94,170.43,1
M079,63.24,88.98,0
M080,62.33,185.4,1
M081,78.07,218.11,1
M082,63.14,69.04,1
M083,79.23,193.93,1
M084,94.89,86.56,0
M085,69.97,151.67,1
M086,60.97,272.55,0
M087,99.88,255.37,1
M088,75.48,36.77,1
M089,54.55,132.84,1
M090,52.36,90.24,0
M091,55.48,11.03,1
M092,81.37,233.62,1
M093,89.6,194.76,1
M094,71.11,85.97,0
M095,53.18,224.96,1
M096,69.08,169.99,0
M097,99.81,134.03,0
M098,76.46,12.8,1
M099,98.55,31.82,0
M100,93.04,266.1,0
M101,50.57,272.14,1
M102,86.04,168.22,0
M103,84.09,252.03,1
M104,76.85,178.93,0
M105,63.34,52.95,0
M106,82.05,46.96,1
M107,55.58,99.39,1
M108,71.74,270.7,1
M109,72.69,240.88,0
M110,97.69,259.6,1
M111,93.79,270.69,1
M112,63.17,70.92,1
M113,75.03,82.36,1
M114,58.93,39.81,1
M115,95.63,236.23,1
M116,93.53,266.4,1
M117,64.92,127.85,0
M118,81.95,189.99,1
M119,80.45,54.82,0
M120,57.64,279.67,0
M121,88.13,260.74,1
M122,76.97,293.1,0
M123,88.93,245.12,0
M124,76.52,265.61,0
M125,50.03,17.19,0
M126,66.21,223.6,0
M127,50.97,106.33,0
M128,96.45,279.94,0
M129,93.94,242.65,0
M130,91.58,260.58,0
M131,65.38,245.12,0
M132,52.9,87.37,1
M133,93.9,238.34,0
M134,97.35,41.35,0
M135,54.28,262.93,1
M136,74.3,258.99,1
M137,53.46,74.51,1
M138,88.03,246.81,0
M139,88.29,143.49,0
M140,56.42,98.51,0
M141,73.76,240.65,1
M142,77.49,76.0,0
M143,63.25,16.86,0
M144,93.62,66.01,1
M145,71.16,105.2,1
M146,60.59,260.66,1
M147,76.96,290.4,0
M148,86.5,90.95,0
M149,60.06,196.03,0
M150,65.59,125.91,0
M151,99.76,294.53,1
M152,82.49,165.5,0
M153,71.91,282.38,0
M154,75.88,43.45,1
M155,56.05,291.42,1
M156,61.23,61.78,1
M157,66.9,289.13,0
M158,79.42,86.99,1
M159,61.51,41.44,0
M160,61.01,136.02,1
M161,53.55,221.28,1
M162,81.56,100.97,0
M163,61.45,185.8,1
M164,95.27,158.31,1
M165,92.98,121.71,1
M166,53.54,177.21,0
M167,61.9,83.87,1
M168,83.45,215.55,0
M169,60.71,10.49,1
M170,56.62,278.42,1
M171,96.78,166.15,1
M172,78.55,218.63,1
M173,73.63,225.17,1
M174,89.23,204.48,1
M175,90.37,115.62,0
M176,59.52,30.29,0
M177,54.85,202.63,1
M178,71.55,105.76,1
M179,71.18,101.04,0
M180,73.35,255.92,1
M181,86.45,218.73,1
M182,83.67,97.09,1
M183,99.21,99.69,0
M184,54.92,128.43,1
M185,70.13,126.7,1
M186,66.97,95.74,0
M187,93.08,46.91,1
M188,62.43,131.93,0
M189,59.51,282.71,1
M190,72.43,206.42,1
M191,71.09,271.81,1
M192,63.93,188.5,1
M193,62.49,97.28,1
M194,96.16,168.9,0
M195,72.16,10.12,0
M196,93.07,93.2,0
M197,77.52,134.67,0
M198,52.53,178.2,1
M199,99.96,199.86,1
M200,91.8,144.85,0
